PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
PRT,1,1901,.,1,1,15178,O,.,.,.,1,1
PRT,1,1901,.,2,1,15826,O,.,.,.,1,1
PRT,1,1901,.,3,1,14132,O,.,.,.,1,1
PRT,1,1901,.,4,1,16179,O,.,.,.,1,1
PRT,1,1901,.,5,1,15070,O,.,.,.,1,1
PRT,1,1901,.,6,1,12881,O,.,.,.,1,1
PRT,1,1901,.,7,1,12047,O,.,.,.,1,1
PRT,1,1901,.,8,1,13922,O,.,.,.,1,1
PRT,1,1901,.,9,1,13226,O,.,.,.,1,1
PRT,1,1901,.,10,1,13918,O,.,.,.,1,1
PRT,1,1901,.,11,1,14591,O,.,.,.,1,1
PRT,1,1901,.,12,1,13803,O,.,.,.,1,1
PRT,1,1901,.,TOT,1,170773,O,.,.,.,1,1
PRT,1,1902,.,1,1,15244,O,.,.,.,1,1
PRT,1,1902,.,2,1,14747,O,.,.,.,1,1
PRT,1,1902,.,3,1,15963,O,.,.,.,1,1
PRT,1,1902,.,4,1,16289,O,.,.,.,1,1
PRT,1,1902,.,5,1,15020,O,.,.,.,1,1
PRT,1,1902,.,6,1,13416,O,.,.,.,1,1
PRT,1,1902,.,7,1,12025,O,.,.,.,1,1
PRT,1,1902,.,8,1,15181,O,.,.,.,1,1
PRT,1,1902,.,9,1,14342,O,.,.,.,1,1
PRT,1,1902,.,10,1,14121,O,.,.,.,1,1
PRT,1,1902,.,11,1,15277,O,.,.,.,1,1
PRT,1,1902,.,12,1,14404,O,.,.,.,1,1
PRT,1,1902,.,TOT,1,176029,O,.,.,.,1,1
PRT,1,1903,.,1,1,14996,O,.,.,.,1,1
PRT,1,1903,.,2,1,18321,O,.,.,.,1,1
PRT,1,1903,.,3,1,14023,O,.,.,.,1,1
PRT,1,1903,.,4,1,17896,O,.,.,.,1,1
PRT,1,1903,.,5,1,16574,O,.,.,.,1,1
PRT,1,1903,.,6,1,13994,O,.,.,.,1,1
PRT,1,1903,.,7,1,12763,O,.,.,.,1,1
PRT,1,1903,.,8,1,15506,O,.,.,.,1,1
PRT,1,1903,.,9,1,14377,O,.,.,.,1,1
PRT,1,1903,.,10,1,14502,O,.,.,.,1,1
PRT,1,1903,.,11,1,15578,O,.,.,.,1,1
PRT,1,1903,.,12,1,14608,O,.,.,.,1,1
PRT,1,1903,.,TOT,1,183138,O,.,.,.,1,1
PRT,1,1904,.,1,1,16394,O,.,.,.,1,1
PRT,1,1904,.,2,1,16713,O,.,.,.,1,1
PRT,1,1904,.,3,1,13341,O,.,.,.,1,1
PRT,1,1904,.,4,1,17528,O,.,.,.,1,1
PRT,1,1904,.,5,1,15401,O,.,.,.,1,1
PRT,1,1904,.,6,1,13059,O,.,.,.,1,1
PRT,1,1904,.,7,1,13567,O,.,.,.,1,1
PRT,1,1904,.,8,1,13862,O,.,.,.,1,1
PRT,1,1904,.,9,1,13537,O,.,.,.,1,1
PRT,1,1904,.,10,1,15315,O,.,.,.,1,1
PRT,1,1904,.,11,1,13948,O,.,.,.,1,1
PRT,1,1904,.,12,1,14061,O,.,.,.,1,1
PRT,1,1904,.,TOT,1,176726,O,.,.,.,1,1
PRT,1,1905,.,1,1,15876,O,.,.,.,1,1
PRT,1,1905,.,2,1,15131,O,.,.,.,1,1
PRT,1,1905,.,3,1,15735,O,.,.,.,1,1
PRT,1,1905,.,4,1,16729,O,.,.,.,1,1
PRT,1,1905,.,5,1,15060,O,.,.,.,1,1
PRT,1,1905,.,6,1,13975,O,.,.,.,1,1
PRT,1,1905,.,7,1,13746,O,.,.,.,1,1
PRT,1,1905,.,8,1,14294,O,.,.,.,1,1
PRT,1,1905,.,9,1,14081,O,.,.,.,1,1
PRT,1,1905,.,10,1,15188,O,.,.,.,1,1
PRT,1,1905,.,11,1,13797,O,.,.,.,1,1
PRT,1,1905,.,12,1,16134,O,.,.,.,1,1
PRT,1,1905,.,TOT,1,179746,O,.,.,.,1,1
PRT,1,1906,.,1,1,16377,O,.,.,.,1,1
PRT,1,1906,.,2,1,17781,O,.,.,.,1,1
PRT,1,1906,.,3,1,13309,O,.,.,.,1,1
PRT,1,1906,.,4,1,17478,O,.,.,.,1,1
PRT,1,1906,.,5,1,14580,O,.,.,.,1,1
PRT,1,1906,.,6,1,13069,O,.,.,.,1,1
PRT,1,1906,.,7,1,14691,O,.,.,.,1,1
PRT,1,1906,.,8,1,14497,O,.,.,.,1,1
PRT,1,1906,.,9,1,15866,O,.,.,.,1,1
PRT,1,1906,.,10,1,14670,O,.,.,.,1,1
PRT,1,1906,.,11,1,14331,O,.,.,.,1,1
PRT,1,1906,.,12,1,16271,O,.,.,.,1,1
PRT,1,1906,.,TOT,1,182920,O,.,.,.,1,1
PRT,1,1907,.,1,1,15285,O,.,.,.,1,1
PRT,1,1907,.,2,1,15754,O,.,.,.,1,1
PRT,1,1907,.,3,1,15130,O,.,.,.,1,1
PRT,1,1907,.,4,1,16895,O,.,.,.,1,1
PRT,1,1907,.,5,1,14063,O,.,.,.,1,1
PRT,1,1907,.,6,1,13374,O,.,.,.,1,1
PRT,1,1907,.,7,1,12495,O,.,.,.,1,1
PRT,1,1907,.,8,1,13966,O,.,.,.,1,1
PRT,1,1907,.,9,1,15133,O,.,.,.,1,1
PRT,1,1907,.,10,1,14351,O,.,.,.,1,1
PRT,1,1907,.,11,1,14034,O,.,.,.,1,1
PRT,1,1907,.,12,1,15937,O,.,.,.,1,1
PRT,1,1907,.,TOT,1,176417,O,.,.,.,1,1
PRT,1,1908,.,1,1,15158,O,.,.,.,1,1
PRT,1,1908,.,2,1,15689,O,.,.,.,1,1
PRT,1,1908,.,3,1,15846,O,.,.,.,1,1
PRT,1,1908,.,4,1,16466,O,.,.,.,1,1
PRT,1,1908,.,5,1,15543,O,.,.,.,1,1
PRT,1,1908,.,6,1,13015,O,.,.,.,1,1
PRT,1,1908,.,7,1,12356,O,.,.,.,1,1
PRT,1,1908,.,8,1,14666,O,.,.,.,1,1
PRT,1,1908,.,9,1,13506,O,.,.,.,1,1
PRT,1,1908,.,10,1,14181,O,.,.,.,1,1
PRT,1,1908,.,11,1,14569,O,.,.,.,1,1
PRT,1,1908,.,12,1,14273,O,.,.,.,1,1
PRT,1,1908,.,TOT,1,175268,O,.,.,.,1,1
PRT,1,1909,.,1,1,15584,O,.,.,.,1,1
PRT,1,1909,.,2,1,16822,O,.,.,.,1,1
PRT,1,1909,.,3,1,12558,O,.,.,.,1,1
PRT,1,1909,.,4,1,15400,O,.,.,.,1,1
PRT,1,1909,.,5,1,15338,O,.,.,.,1,1
PRT,1,1909,.,6,1,12798,O,.,.,.,1,1
PRT,1,1909,.,7,1,12308,O,.,.,.,1,1
PRT,1,1909,.,8,1,15496,O,.,.,.,1,1
PRT,1,1909,.,9,1,14597,O,.,.,.,1,1
PRT,1,1909,.,10,1,15011,O,.,.,.,1,1
PRT,1,1909,.,11,1,14385,O,.,.,.,1,1
PRT,1,1909,.,12,1,14456,O,.,.,.,1,1
PRT,1,1909,.,TOT,1,174753,O,.,.,.,1,1
PRT,1,1910,.,1,1,17335,O,.,.,.,1,1
PRT,1,1910,.,2,1,14971,O,.,.,.,1,1
PRT,1,1910,.,3,1,14968,O,.,.,.,1,1
PRT,1,1910,.,4,1,15673,O,.,.,.,1,1
PRT,1,1910,.,5,1,17154,O,.,.,.,1,1
PRT,1,1910,.,6,1,12910,O,.,.,.,1,1
PRT,1,1910,.,7,1,13306,O,.,.,.,1,1
PRT,1,1910,.,8,1,13947,O,.,.,.,1,1
PRT,1,1910,.,9,1,14440,O,.,.,.,1,1
PRT,1,1910,.,10,1,16523,O,.,.,.,1,1
PRT,1,1910,.,11,1,15645,O,.,.,.,1,1
PRT,1,1910,.,12,1,20081,O,.,.,.,1,1
PRT,1,1910,.,TOT,1,186953,O,.,.,.,1,1
PRT,1,1911,.,TOT,1,230033,O,.,.,.,1,0
PRT,1,1912,.,TOT,1,207870,O,.,.,.,1,0
PRT,1,1913,.,TOT,1,193906,O,.,.,.,1,0
PRT,1,1914,.,TOT,1,188479,O,.,.,.,1,0
PRT,1,1915,.,TOT,1,195225,O,.,.,.,1,0
PRT,1,1916,.,TOT,1,192780,O,.,.,.,1,0
PRT,1,1917,.,TOT,1,188391,O,.,.,.,1,0
PRT,1,1918,.,1,1,15695,O,.,.,.,1,1
PRT,1,1918,.,2,1,15963,O,.,.,.,1,1
PRT,1,1918,.,3,1,17790,O,.,.,.,1,1
PRT,1,1918,.,4,1,16592,O,.,.,.,1,1
PRT,1,1918,.,5,1,15494,O,.,.,.,1,1
PRT,1,1918,.,6,1,14207,O,.,.,.,1,1
PRT,1,1918,.,7,1,13912,O,.,.,.,1,1
PRT,1,1918,.,8,1,13529,O,.,.,.,1,1
PRT,1,1918,.,9,1,13779,O,.,.,.,1,1
PRT,1,1918,.,10,1,14737,O,.,.,.,1,1
PRT,1,1918,.,11,1,13509,O,.,.,.,1,1
PRT,1,1918,.,12,1,13480,O,.,.,.,1,1
PRT,1,1918,.,TOT,1,178687,O,.,.,.,1,1
PRT,1,1919,.,1,1,13494,O,.,.,.,1,1
PRT,1,1919,.,2,1,14307,O,.,.,.,1,1
PRT,1,1919,.,3,1,15957,O,.,.,.,1,1
PRT,1,1919,.,4,1,14418,O,.,.,.,1,1
PRT,1,1919,.,5,1,13109,O,.,.,.,1,1
PRT,1,1919,.,6,1,11583,O,.,.,.,1,1
PRT,1,1919,.,7,1,10763,O,.,.,.,1,1
PRT,1,1919,.,8,1,10784,O,.,.,.,1,1
PRT,1,1919,.,9,1,13375,O,.,.,.,1,1
PRT,1,1919,.,10,1,15452,O,.,.,.,1,1
PRT,1,1919,.,11,1,15869,O,.,.,.,1,1
PRT,1,1919,.,12,1,17051,O,.,.,.,1,1
PRT,1,1919,.,TOT,1,166162,O,.,.,.,1,1
PRT,1,1920,.,1,1,18424,O,.,.,.,1,1
PRT,1,1920,.,2,1,18833,O,.,.,.,1,1
PRT,1,1920,.,3,1,18882,O,.,.,.,1,1
PRT,1,1920,.,4,1,17816,O,.,.,.,1,1
PRT,1,1920,.,5,1,17344,O,.,.,.,1,1
PRT,1,1920,.,6,1,15291,O,.,.,.,1,1
PRT,1,1920,.,7,1,15175,O,.,.,.,1,1
PRT,1,1920,.,8,1,16007,O,.,.,.,1,1
PRT,1,1920,.,9,1,15775,O,.,.,.,1,1
PRT,1,1920,.,10,1,16298,O,.,.,.,1,1
PRT,1,1920,.,11,1,16451,O,.,.,.,1,1
PRT,1,1920,.,12,1,16612,O,.,.,.,1,1
PRT,1,1920,.,TOT,1,202908,O,.,.,.,1,1
PRT,1,1921,.,1,1,17897,O,.,.,.,1,1
PRT,1,1921,.,2,1,17245,O,.,.,.,1,1
PRT,1,1921,.,3,1,18361,O,.,.,.,1,1
PRT,1,1921,.,4,1,16100,O,.,.,.,1,1
PRT,1,1921,.,5,1,16260,O,.,.,.,1,1
PRT,1,1921,.,6,1,14509,O,.,.,.,1,1
PRT,1,1921,.,7,1,14711,O,.,.,.,1,1
PRT,1,1921,.,8,1,15249,O,.,.,.,1,1
PRT,1,1921,.,9,1,15603,O,.,.,.,1,1
PRT,1,1921,.,10,1,16937,O,.,.,.,1,1
PRT,1,1921,.,11,1,16575,O,.,.,.,1,1
PRT,1,1921,.,12,1,17575,O,.,.,.,1,1
PRT,1,1921,.,TOT,1,197022,O,.,.,.,1,1
PRT,1,1922,.,1,1,19148,O,.,.,.,1,1
PRT,1,1922,.,2,1,17807,O,.,.,.,1,1
PRT,1,1922,.,3,1,18265,O,.,.,.,1,1
PRT,1,1922,.,4,1,17368,O,.,.,.,1,1
PRT,1,1922,.,5,1,16509,O,.,.,.,1,1
PRT,1,1922,.,6,1,15384,O,.,.,.,1,1
PRT,1,1922,.,7,1,15541,O,.,.,.,1,1
PRT,1,1922,.,8,1,16067,O,.,.,.,1,1
PRT,1,1922,.,9,1,16191,O,.,.,.,1,1
PRT,1,1922,.,10,1,17259,O,.,.,.,1,1
PRT,1,1922,.,11,1,16218,O,.,.,.,1,1
PRT,1,1922,.,12,1,17970,O,.,.,.,1,1
PRT,1,1922,.,TOT,1,203727,O,.,.,.,1,1
PRT,1,1923,.,1,1,18297,O,.,.,.,1,1
PRT,1,1923,.,2,1,17917,O,.,.,.,1,1
PRT,1,1923,.,3,1,19267,O,.,.,.,1,1
PRT,1,1923,.,4,1,18349,O,.,.,.,1,1
PRT,1,1923,.,5,1,17882,O,.,.,.,1,1
PRT,1,1923,.,6,1,15530,O,.,.,.,1,1
PRT,1,1923,.,7,1,16354,O,.,.,.,1,1
PRT,1,1923,.,8,1,16373,O,.,.,.,1,1
PRT,1,1923,.,9,1,16542,O,.,.,.,1,1
PRT,1,1923,.,10,1,17154,O,.,.,.,1,1
PRT,1,1923,.,11,1,16209,O,.,.,.,1,1
PRT,1,1923,.,12,1,17298,O,.,.,.,1,1
PRT,1,1923,.,TOT,1,207172,O,.,.,.,1,1
PRT,1,1924,.,1,1,17762,O,.,.,.,1,1
PRT,1,1924,.,2,1,18166,O,.,.,.,1,1
PRT,1,1924,.,3,1,19859,O,.,.,.,1,1
PRT,1,1924,.,4,1,18561,O,.,.,.,1,1
PRT,1,1924,.,5,1,17784,O,.,.,.,1,1
PRT,1,1924,.,6,1,16327,O,.,.,.,1,1
PRT,1,1924,.,7,1,16219,O,.,.,.,1,1
PRT,1,1924,.,8,1,16099,O,.,.,.,1,1
PRT,1,1924,.,9,1,16436,O,.,.,.,1,1
PRT,1,1924,.,10,1,17280,O,.,.,.,1,1
PRT,1,1924,.,11,1,15993,O,.,.,.,1,1
PRT,1,1924,.,12,1,16954,O,.,.,.,1,1
PRT,1,1924,.,TOT,1,207440,O,.,.,.,1,1
PRT,1,1925,.,1,1,17696,O,.,.,.,1,1
PRT,1,1925,.,2,1,17526,O,.,.,.,1,1
PRT,1,1925,.,3,1,19307,O,.,.,.,1,1
PRT,1,1925,.,4,1,18446,O,.,.,.,1,1
PRT,1,1925,.,5,1,17738,O,.,.,.,1,1
PRT,1,1925,.,6,1,16543,O,.,.,.,1,1
PRT,1,1925,.,7,1,16604,O,.,.,.,1,1
PRT,1,1925,.,8,1,16824,O,.,.,.,1,1
PRT,1,1925,.,9,1,16744,O,.,.,.,1,1
PRT,1,1925,.,10,1,16972,O,.,.,.,1,1
PRT,1,1925,.,11,1,16874,O,.,.,.,1,1
PRT,1,1925,.,12,1,17160,O,.,.,.,1,1
PRT,1,1925,.,TOT,1,208434,O,.,.,.,1,1
PRT,1,1926,.,TOT,1,214633,O,.,.,.,1,0
PRT,1,1927,.,TOT,1,199399,O,.,.,.,1,0
PRT,1,1928,.,TOT,1,211314,O,.,.,.,1,0
PRT,1,1929,.,1,1,18220,O,.,.,.,1,1
PRT,1,1929,.,2,1,17853,O,.,.,.,1,1
PRT,1,1929,.,3,1,18935,O,.,.,.,1,1
PRT,1,1929,.,4,1,16943,O,.,.,.,1,1
PRT,1,1929,.,5,1,15774,O,.,.,.,1,1
PRT,1,1929,.,6,1,15667,O,.,.,.,1,1
PRT,1,1929,.,7,1,15296,O,.,.,.,1,1
PRT,1,1929,.,8,1,15709,O,.,.,.,1,1
PRT,1,1929,.,9,1,16232,O,.,.,.,1,1
PRT,1,1929,.,10,1,16156,O,.,.,.,1,1
PRT,1,1929,.,11,1,16221,O,.,.,.,1,1
PRT,1,1929,.,12,1,17868,O,.,.,.,1,1
PRT,1,1929,.,TOT,1,200874,O,.,.,.,1,1
PRT,1,1930,.,1,1,19372,O,.,.,.,1,1
PRT,1,1930,.,2,1,17318,O,.,.,.,1,1
PRT,1,1930,.,3,1,18691,O,.,.,.,1,1
PRT,1,1930,.,4,1,16914,O,.,.,.,1,1
PRT,1,1930,.,5,1,16225,O,.,.,.,1,1
PRT,1,1930,.,6,1,15382,O,.,.,.,1,1
PRT,1,1930,.,7,1,15686,O,.,.,.,1,1
PRT,1,1930,.,8,1,16316,O,.,.,.,1,1
PRT,1,1930,.,9,1,15815,O,.,.,.,1,1
PRT,1,1930,.,10,1,16847,O,.,.,.,1,1
PRT,1,1930,.,11,1,16394,O,.,.,.,1,1
PRT,1,1930,.,12,1,17569,O,.,.,.,1,1
PRT,1,1930,.,TOT,1,202529,O,.,.,.,1,1
PRT,1,1931,.,1,1,19255,O,.,.,.,1,1
PRT,1,1931,.,2,1,17611,O,.,.,.,1,1
PRT,1,1931,.,3,1,19508,O,.,.,.,1,1
PRT,1,1931,.,4,1,18007,O,.,.,.,1,1
PRT,1,1931,.,5,1,16824,O,.,.,.,1,1
PRT,1,1931,.,6,1,15727,O,.,.,.,1,1
PRT,1,1931,.,7,1,15872,O,.,.,.,1,1
PRT,1,1931,.,8,1,16166,O,.,.,.,1,1
PRT,1,1931,.,9,1,16309,O,.,.,.,1,1
PRT,1,1931,.,10,1,15909,O,.,.,.,1,1
PRT,1,1931,.,11,1,15963,O,.,.,.,1,1
PRT,1,1931,.,12,1,16969,O,.,.,.,1,1
PRT,1,1931,.,TOT,1,204120,O,.,.,.,1,1
PRT,1,1932,.,1,1,19608,O,.,.,.,1,1
PRT,1,1932,.,2,1,18142,O,.,.,.,1,1
PRT,1,1932,.,3,1,19727,O,.,.,.,1,1
PRT,1,1932,.,4,1,19060,O,.,.,.,1,1
PRT,1,1932,.,5,1,16008,O,.,.,.,1,1
PRT,1,1932,.,6,1,15625,O,.,.,.,1,1
PRT,1,1932,.,7,1,16692,O,.,.,.,1,1
PRT,1,1932,.,8,1,16475,O,.,.,.,1,1
PRT,1,1932,.,9,1,16340,O,.,.,.,1,1
PRT,1,1932,.,10,1,16554,O,.,.,.,1,1
PRT,1,1932,.,11,1,16649,O,.,.,.,1,1
PRT,1,1932,.,12,1,17182,O,.,.,.,1,1
PRT,1,1932,.,TOT,1,208062,O,.,.,.,1,1
PRT,1,1933,.,1,1,19039,O,.,.,.,1,1
PRT,1,1933,.,2,1,17584,O,.,.,.,1,1
PRT,1,1933,.,3,1,19598,O,.,.,.,1,1
PRT,1,1933,.,4,1,18055,O,.,.,.,1,1
PRT,1,1933,.,5,1,16840,O,.,.,.,1,1
PRT,1,1933,.,6,1,15283,O,.,.,.,1,1
PRT,1,1933,.,7,1,16216,O,.,.,.,1,1
PRT,1,1933,.,8,1,16057,O,.,.,.,1,1
PRT,1,1933,.,9,1,16001,O,.,.,.,1,1
PRT,1,1933,.,10,1,16838,O,.,.,.,1,1
PRT,1,1933,.,11,1,15934,O,.,.,.,1,1
PRT,1,1933,.,12,1,16870,O,.,.,.,1,1
PRT,1,1933,.,TOT,1,204315,O,.,.,.,1,1
PRT,1,1934,.,1,1,19369,O,.,.,.,1,1
PRT,1,1934,.,2,1,17098,O,.,.,.,1,1
PRT,1,1934,.,3,1,19544,O,.,.,.,1,1
PRT,1,1934,.,4,1,17154,O,.,.,.,1,1
PRT,1,1934,.,5,1,16094,O,.,.,.,1,1
PRT,1,1934,.,6,1,14948,O,.,.,.,1,1
PRT,1,1934,.,7,1,16518,O,.,.,.,1,1
PRT,1,1934,.,8,1,15851,O,.,.,.,1,1
PRT,1,1934,.,9,1,16279,O,.,.,.,1,1
PRT,1,1934,.,10,1,16674,O,.,.,.,1,1
PRT,1,1934,.,11,1,16328,O,.,.,.,1,1
PRT,1,1934,.,12,1,17301,O,.,.,.,1,1
PRT,1,1934,.,TOT,1,203158,O,.,.,.,1,1
PRT,1,1935,.,1,1,17890,O,.,.,.,1,1
PRT,1,1935,.,2,1,17372,O,.,.,.,1,1
PRT,1,1935,.,3,1,19601,O,.,.,.,1,1
PRT,1,1935,.,4,1,17887,O,.,.,.,1,1
PRT,1,1935,.,5,1,16251,O,.,.,.,1,1
PRT,1,1935,.,6,1,15521,O,.,.,.,1,1
PRT,1,1935,.,7,1,16325,O,.,.,.,1,1
PRT,1,1935,.,8,1,16373,O,.,.,.,1,1
PRT,1,1935,.,9,1,16329,O,.,.,.,1,1
PRT,1,1935,.,10,1,16891,O,.,.,.,1,1
PRT,1,1935,.,11,1,16323,O,.,.,.,1,1
PRT,1,1935,.,12,1,17180,O,.,.,.,1,1
PRT,1,1935,.,TOT,1,203943,O,.,.,.,1,1
PRT,1,1936,.,1,1,18613,O,.,.,.,1,1
PRT,1,1936,.,2,1,17765,O,.,.,.,1,1
PRT,1,1936,.,3,1,20346,O,.,.,.,1,1
PRT,1,1936,.,4,1,18255,O,.,.,.,1,1
PRT,1,1936,.,5,1,17091,O,.,.,.,1,1
PRT,1,1936,.,6,1,15697,O,.,.,.,1,1
PRT,1,1936,.,7,1,16023,O,.,.,.,1,1
PRT,1,1936,.,8,1,16462,O,.,.,.,1,1
PRT,1,1936,.,9,1,15685,O,.,.,.,1,1
PRT,1,1936,.,10,1,17187,O,.,.,.,1,1
PRT,1,1936,.,11,1,16259,O,.,.,.,1,1
PRT,1,1936,.,12,1,16232,O,.,.,.,1,1
PRT,1,1936,.,TOT,1,205615,O,.,.,.,1,1
PRT,1,1937,.,1,1,17488,O,.,.,.,1,1
PRT,1,1937,.,2,1,16461,O,.,.,.,1,1
PRT,1,1937,.,3,1,19186,O,.,.,.,1,1
PRT,1,1937,.,4,1,17587,O,.,.,.,1,1
PRT,1,1937,.,5,1,16558,O,.,.,.,1,1
PRT,1,1937,.,6,1,14826,O,.,.,.,1,1
PRT,1,1937,.,7,1,14077,O,.,.,.,1,1
PRT,1,1937,.,8,1,17972,O,.,.,.,1,1
PRT,1,1937,.,9,1,16309,O,.,.,.,1,1
PRT,1,1937,.,10,1,16095,O,.,.,.,1,1
